TEAM ,Payroll,Wins,,,,,,,,
NYY,206,95,1456.805747,90.23333333,13401.92111,81,196,10.81973506,11.00470119,
BOS,162,89,,,5150.454444,,64,,,
CHC,146,75,,,3109.921111,,36,,,
PHI,142,97,,,2679.787778,,256,,,
NYM,134,79,,,1915.521111,,4,,,
DET,123,81,,,1073.654444,,0,,,
CHW,106,88,,,248.5877778,,49,,,
LAA,105,80,,,218.0544444,,1,,,
SF,99,92,,,76.85444444,,121,,,
MIN,98,94,,,60.32111111,,169,,,
LAD,95,80,,,22.72111111,,1,,,
HOU,92,76,,,3.121111111,,25,,,
SEA,86,61,,,17.92111111,,400,,,
STL,86,86,,,17.92111111,,25,,,
ATL,84,91,,,38.85444444,,100,,,
COL,84,83,,,38.85444444,,4,,,
BAL,82,66,,,67.78777778,,225,,,
MIL,81,77,,,85.25444444,,16,,,
TB,72,96,,,332.4544444,,225,,,
CIN,71,91,,,369.9211111,,100,,,
KC,71,67,,,369.9211111,,196,,,
TOR,62,85,,,797.1211111,,16,,,
ARZ,61,65,,,854.5877778,,256,,,
CLE,61,69,,,854.5877778,,144,,,
WAS,61,69,,,854.5877778,,144,,,
FA,57,80,,,1104.454444,,1,,,
TEX,55,90,,,1241.387778,,81,,,
OAK,52,81,,,1461.787778,,0,,,
SD,38,90,,,2728.321111,,81,,,
PIT,35,57,,,3050.721111,,576,,,
,,,,,,,3512,28,125.4285714,11.19948978